Nimeke,ISSN/NBN,"Digitoitu, avoin käyttö","Digitoitu, rajattu käyttö",Ilmestynyt vuosina,Digitointi-%,Niteitä,Sivuja,URL
SeutuMajakka : Jokilaaksojen Seutumajakka,2342-1649,,2017 - 2024,2014 - 2025,66.67 %,360,6008,https://digi.kansalliskirjasto.fi/sanomalehti/titles/2342-1649
Seutulehti uutisOiva,2243-2396,,2017 - 2024,2012 - 2025,57.14 %,408,10472,https://digi.kansalliskirjasto.fi/sanomalehti/titles/2243-2396
Severnaja Zizn,fk14928,1918 - 1919,,1918 - 1919,100.00 %,59,305,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk14928
Sielun terveys,fk02563,1935 - 1937,,1928 - 1937,30.00 %,11,236,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02563
Sielunterveysseuran aikakauslehti,fk02564,1928 - 1934,,1928 - 1934,100.00 %,15,630,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02564
Sieviläinen,fk16076,,2017 - 2024,1979 - 2025,17.02 %,402,5360,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk16076
Signalen,fk20050911,"1880 - 1883, 1885, 1891 - 1892, 1894",,1880 - 1894,53.33 %,9,56,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050911
Signalen,fk03873,1909 - 1920,,1909 - 2025,10.26 %,130,1744,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk03873
Siikajokilaakso,0787-4987,,2016 - 2024,1966 - 2025,15.00 %,435,11687,https://digi.kansalliskirjasto.fi/sanomalehti/titles/0787-4987
Siionin sanomat : kristillinen kuukauslehti : elävän kristillisyyden edistämistä ja puolustamista varten Amerikassa,fk20110213,1891 - 1895,,1891 - 1896,83.33 %,52,890,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110213
Siionin ystävä,fk02569,1917 - 1939,1940 - 1944,1917 - 1953,75.68 %,334,4921,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02569
Siipi : Suomen nuorison ilmailuliiton äänenkannattaja,fk02571,1932 - 1936,,1932 - 1936,100.00 %,32,148,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02571
Siipikarja : Siipikarjanhoitajain liiton äänenkannattaja,0037-5098,1919 - 1939,1940 - 1944,1919 - 1995,33.77 %,398,10042,https://digi.kansalliskirjasto.fi/aikakausi/titles/0037-5098
Siipikarjan- ja mehiläishoitolehti,fk02573,1910 - 1918,,1910 - 1918,100.00 %,88,1376,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02573
Siipikarjanhoito-lehti,fk02574,1896 - 1909,,1896 - 1909,100.00 %,150,1949,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02574
Siipikarjatalous,fk02575,1931 - 1933,,1931 - 1933,100.00 %,16,300,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02575
Siipipyörä,fk03874,1925 - 1939,1940 - 1944,1925 - 2025,19.80 %,133,1154,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk03874
Siirtokansa : siirtoväen äänenkannattaja,fk02577,,1941,1941,100.00 %,11,44,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk02577
Siirtolainen,fk32044,"1893 - 1896, 1898 - 1903, 1906 - 1907, 1909 - 1915, 1917 - 1923",1924,1893 - 1937,60.00 %,1352,10569,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk32044
Siirtolainen,fk01247,,1940,1940,100.00 %,5,148,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01247
Siirtolapuutarha : Suomen siirtolapuutarhaväen äänenkannattaja,0359-4955,1935 - 1939,1940 - 1944,1935 - 2025,10.99 %,38,680,https://digi.kansalliskirjasto.fi/aikakausi/titles/0359-4955
Siivet : lentolukemisto : kuvauksia pelottomien miesten ammatista,fk02579,1939,,1939,100.00 %,4,142,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02579
Sika : Suomen sianjalostusyhdistyksen tiedonantoja,0037-5101,1937 - 1939,1940 - 1944,1937 - 2011,10.67 %,29,1312,https://digi.kansalliskirjasto.fi/aikakausi/titles/0037-5101
Silliviesti,fk02580,1937 - 1939,,1937 - 1939,100.00 %,10,240,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02580
Silva Fennica,0037-5330,"1926 - 1933, 1935 - 1939","1940, 1942 - 1943",1926 - 2013,18.18 %,58,4819,https://digi.kansalliskirjasto.fi/aikakausi/titles/0037-5330
Simasuu,fk02582,1912,,1912,100.00 %,1,20,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02582
Sinimusta,fk02586,1931,,1931,100.00 %,12,192,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02586
Sinimusta,fk02587,1934 - 1936,,1934 - 1936,100.00 %,25,596,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02587
Sininen kirja,fk02588,1927 - 1930,,1927 - 1930,100.00 %,32,2454,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02588
Sininen kirja : Suomen talouselämän hakemisto,0782-2553,"1937, 1939",,1937 - 2025,2.25 %,2,3041,https://digi.kansalliskirjasto.fi/aikakausi/titles/0782-2553
Siniristi,fk02590,"1933, 1938 - 1939",,1933 - 1939,42.86 %,28,218,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02590
Sionin lähetyslehti,0355-8940,1912 - 1939,1940 - 1944,1912 - 2025,28.95 %,390,9106,https://digi.kansalliskirjasto.fi/aikakausi/titles/0355-8940
Sions missionstidning,fk01075,1914 - 1920,,1914 - 1920,100.00 %,79,2108,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01075
Sipoon Sanomat,0358-1683,,2016 - 2024,1980 - 2025,19.57 %,449,9060,https://digi.kansalliskirjasto.fi/sanomalehti/titles/0358-1683
Sirkka,fk01076,1895 - 1896,,1895 - 1896,100.00 %,36,326,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01076
Sirkka : nuorten toveri,fk01078,1926 - 1939,1940 - 1944,1926 - 1945,95.00 %,320,5199,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01078
Sisu-uutiset : autoteknillinen aikakauslehti,fk08509,1937,1941,1937 - 1968,6.25 %,5,60,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk08509
Sisä-Suomen Lehti,0356-3103,,2016 - 2024,1960 - 2025,13.64 %,459,9224,https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-3103
Sisä-Suomen vartio : Sisä-Suomen suojeluskuntapiirin julkaisu,fk01081,,1941 - 1944,1941 - 1944,100.00 %,32,816,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01081
Sisä-Suomen vartio : kotiseutu-kenttäjoukot,fk20100717,,1941 - 1942,1941 - 1942,100.00 %,22,88,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100717
Sisä-Suomi,fk10455,1923 - 1939,1940 - 1950,1923 - 1950,100.00 %,8516,40235,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10455
Sisämaa-Laatokka,fk10453,1946 - 1949,,1946 - 1949,100.00 %,698,2805,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10453
Siunausta koteihin,fk03886,"1912 - 1917, 1919 - 1939",1940 - 1944,1912 - 1966,58.18 %,1477,6503,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk03886
Sivakka,fk01083,,1940,1940,100.00 %,2,8,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01083
Sjuttons pojkar,fk01084,,1941 - 1942,1941 - 1942,100.00 %,21,92,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01084
Sjömanswännen,0356-4479,1882 - 1939,1940 - 1944,1882 - 1990,57.80 %,694,14914,https://digi.kansalliskirjasto.fi/aikakausi/titles/0356-4479
Skandinaviska tandläkareföreningens tidskrift,fk01085,1894 - 1899,,1892 - 1899,75.00 %,23,2018,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01085
Skogsbruket : forstlig tidskrifts folkupplaga,0037-6434,1931 - 1939,1940 - 1944,1931 - 2025,14.74 %,158,3840,https://digi.kansalliskirjasto.fi/aikakausi/titles/0037-6434
Skogsduvan,fk31268,"1913 - 1914, 1916 - 1939",1940,1913 - 1940,96.43 %,46,432,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk31268
Skogsmannen : organ för Finlands svenska skogsmannaförbund,fk17044,,1940 - 1944,1940 - 1963,20.83 %,9,216,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk17044
Skogsposten : frontblad för nylänningar,fk20100629,,1941 - 1942,1941 - 1942,100.00 %,30,60,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100629
Skogsradion,fk20210211,,1941 - 1943,1941 - 1943,100.00 %,11,107,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20210211
Skol-tidning,fk01088,1847 - 1848,,1500 - 1848,0.57 %,23,192,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01088
Skola och hem : tidskrift utgiven av Finlands svenska läroverksförening,fk03895,1938 - 1939,1940 - 1944,1938 - 1974,18.92 %,26,1746,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk03895
Skolradio : programmet,fk27573,1935 - 1939,1940 - 1944,1935 - 1964,33.33 %,19,636,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk27573
Skott på skott : tidning för medborgare och medborgarinnor hvilka intressera sig för skottdagen,fk980764,1892,,1892,100.00 %,1,4,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk980764
Skottet,fk20050912,1880,,1880,100.00 %,1,4,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050912
Skvaller Klockan,fk01090,"1929 - 1930, 1932",,1929 - 1932,75.00 %,22,108,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01090
Skyddskårernas huvudstabs orderblad,fk31270,"1920 - 1923, 1925, 1933 - 1934, 1936, 1940",,1940,100.00 %,29,182,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk31270
Skyddskåristen,fk01091,1928 - 1939,1940 - 1942,1928 - 1942,100.00 %,294,8422,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01091
Skyddskårstidningen,fk01092,,1941,1941,100.00 %,1,8,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01092
Skyddsvärnet : organ för Olycksfallsskyddsföreningen,fk03899,1936 - 1939,1940 - 1944,1936 - 1960,36.00 %,32,788,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk03899
Skämt och allvar : tidning utgifven till S. O. B:s årsmöte,fk980765,"1892, 1896 - 1897",,1892 - 1897,50.00 %,3,12,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk980765
Skämt- och Annonsbladet,fk01094,1898,,1898,100.00 %,6,44,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01094
Sköna Helena,fk20050913,"1870, 1879",,1870 - 1879,20.00 %,2,8,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050913
Släktposten,fk35965,1922,,1900 - 1922,4.35 %,1,6,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk35965
Sländan,fk01095,1895 - 1899,,1895 - 1900,83.33 %,88,768,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01095
Social tidskrift,fk01100,1918 - 1923,,1918 - 1923,100.00 %,49,4640,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01100
Social-Demokraten,fk25055,1907 - 1908,,1907 - 1908,100.00 %,64,254,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk25055
Sodanvastustaja,fk01101,1935 - 1938,,1935 - 1938,100.00 %,6,72,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01101
Soihtu : Pohjolan asiamieslehti,fk01103,1931 - 1933,,1931 - 1933,100.00 %,26,637,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01103
Soihtu : kirjallistaiteellinen kuvalehti,fk32930,1927 - 1930,,1927 - 1930,100.00 %,14,286,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk32930
Soihtu : sosialidemokraattinen aikakauslehti,0356-6056,1931 - 1939,1940,1931 - 1991,16.39 %,86,2288,https://digi.kansalliskirjasto.fi/aikakausi/titles/0356-6056
Soihtu : sosialistinen kuukausilehti,fk31649,1905 - 1906,,1905 - 1906,100.00 %,13,552,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk31649
Soihtu : työläislasten raittiuslehti,fk01102,1924,,1924,100.00 %,10,168,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01102
Soisalon Seutu,fk16098,,2016 - 2024,1979 - 2025,19.15 %,457,8924,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk16098
Sokeain kevätviesti,fk20090611,1911 - 1914,,1911 - 1914,100.00 %,4,116,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090611
Sokean opas,0560-8570,,"1954 - 1969, 1971",1954 - 1980,62.96 %,17,1350,https://digi.kansalliskirjasto.fi/aikakausi/titles/0560-8570
Sokeitten sanomat,fk01106,1927 - 1929,,1927 - 1929,100.00 %,12,342,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01106
Soldatgossen : publikation för våra svenskspråkiga soldater,fk01107,1927 - 1939,1940 - 1943,1927 - 1943,100.00 %,68,2264,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01107
Soljon Viikko-Novellit,fk01108,1930 - 1931,,1930 - 1931,100.00 %,44,1012,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01108
Somero,0356-200X,1924 - 1939,"1940 - 1959, 2017 - 2024",1924 - 2025,43.14 %,2554,20310,https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-200X
Sompio,1237-4040,,2017 - 2024,1993 - 2025,24.24 %,390,8040,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1237-4040
Sorretun Voima,fk25048,1906 - 1917,,1906 - 1918,92.31 %,1678,6670,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk25048
Sorsa,fk20100718,,"1942, 1944",1942,100.00 %,8,203,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100718
Sortavalan Sanomat,1458-2287,1914 - 1917,,1914 - 1917,100.00 %,371,1484,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-2287
Sosiaali- ja terveysministeriön selvityksiä,1236-2115,,2002,1993 - 2011,5.26 %,2,110,https://digi.kansalliskirjasto.fi/aikakausi/titles/1236-2115
Sosiaalitieto : sosiaalialan riippumaton ammattilehti,1798-3703,,2009 - 2012,2009 - 2012,100.00 %,42,1288,https://digi.kansalliskirjasto.fi/aikakausi/titles/1798-3703
Sosiaaliturva,0355-6565,,1976 - 2009,1976 - 2009,100.00 %,738,32452,https://digi.kansalliskirjasto.fi/aikakausi/titles/0355-6565
Sosialidemokraatti,fk10459,1906 - 1918,,1906 - 1918,100.00 %,1880,7516,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10459
Sosialidemokraattinen aikakauslehti,fk01111,1920,,1920,100.00 %,17,500,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01111
Sosialinen aikakauskirja,0038-1594,1918 - 1939,1940 - 1944,1918 - 1994,35.06 %,278,20474,https://digi.kansalliskirjasto.fi/aikakausi/titles/0038-1594
Sosialisti,fk10460,1906 - 1918,,1906 - 1918,100.00 %,3605,27121,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10460
Sosialisti,fk32037,1914 - 1916,,1914 - 1916,100.00 %,774,3376,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk32037
Sosialisti,fk20090280,1918,,1918,100.00 %,1,16,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090280
Sosialisti,fk10461,1920 - 1939,1940 - 1951,1920 - 1951,100.00 %,9193,75496,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10461
Sosialistin joulu,fk20110644,1915 - 1916,,1914 - 1916,66.67 %,2,92,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110644
Sosialistinen Aikakauslehti,fk01113,1905 - 1908,,1905 - 1908,100.00 %,39,1404,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01113
Sosialistinen Aikakauslehti,fk01114,1919 - 1923,,1919 - 1923,100.00 %,83,1456,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01114
Sosialistinen kalenteri,fk32637,1933 - 1936,,1932 - 1936,80.00 %,4,888,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk32637
"SotaS viesti : ""Möysän motin lepovarmistus"" : vakavaa ja iloista oman sairaalamme jermuille kipivuoteille",fk01119,,1943,1943,100.00 %,5,92,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01119
Sotainvaliidi,0049-1349,,1940 - 1944,1940 - 2025,5.81 %,51,1828,https://digi.kansalliskirjasto.fi/aikakausi/titles/0049-1349
Sotainvaliidien viestiveikko,fk01115,,1942,1942,100.00 %,2,72,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01115
Sotakoira : Suomen armeijakoirayhdistyksen äänenkannattaja,fk01118,1929 - 1932,,1929 - 1932,100.00 %,11,180,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01118
Sotasanoma,fk20100711,1938 - 1939,,1938 - 1939,100.00 %,3,78,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100711
Sotateknillinen aikakauslehti : kenttä- ja rannikkotykistön sekä teknillisten joukkojen yhteinen julkaisu,fk01120,1924 - 1925,,1924 - 1925,100.00 %,18,1154,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01120
Sotavanhus,fk31658,1934 - 1939,1941 - 1944,1934 - 1943,100.00 %,10,640,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk31658
Sotilaan ääni : asetakkiin puettujen Suomen kansan miesten äänenkannattaja,fk20100710,,1942 - 1944,1942 - 1943,100.00 %,26,104,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100710
Sotilas : tervehdys koulutuskeskuksen sotilaille,fk01122,,1941,1941,100.00 %,6,24,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01122
Sotilasaikakauslehti : Upseeriliiton julkaisu,0038-1675,1935 - 1939,1941,1935 - 2025,6.59 %,60,4699,https://digi.kansalliskirjasto.fi/aikakausi/titles/0038-1675
Sotilashallinnollinen aikakauslehti,fk01123,1929 - 1939,1940 - 1944,1929 - 1948,80.00 %,154,9470,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01123
Sotilaskotisisar,fk01124,,1943 - 1944,1943 - 1944,100.00 %,5,94,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01124
Sotilaspoika,fk01126,,1941 - 1944,1941 - 1944,100.00 %,36,644,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01126
Sotilaspoikajohtaja : ohjeita ja tiedoituksia sotilaspoikajohtajille,fk01127,,1944,1944,100.00 %,2,40,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01127
Sotilasviikkolehti,fk01128,1918,,1918,100.00 %,16,192,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01128
Sotkamo,0787-5320,,2016 - 2024,1962 - 2025,14.06 %,872,18504,https://digi.kansalliskirjasto.fi/sanomalehti/titles/0787-5320
Sotsialist-Revoljutsioner,fk14933,1917 - 1918,,1917 - 1918,100.00 %,151,608,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk14933
Soturi : jv. koul. k. 2 kenttälehti,fk01129,,1942,1942,100.00 %,7,168,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01129
Soturi-side : jäsenlehti,fk01130,,1941 - 1942,1941 - 1942,100.00 %,2,8,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01130
"Spagyro : tidskrift för spagyrik, homeopati, biokemi och naturläkekonst",fk01133,1934,,1934,100.00 %,4,60,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01133
Spanska flugan,fk20050132,1839 - 1841,,1839 - 1841,100.00 %,3,164,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050132
Sparbanksinformation för Korsholm och Kvevlax,fk11989,,1966 - 1967,1966 - 2025,3.33 %,2,12,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk11989
Sparven,fk01134,1933 - 1934,,1933 - 1934,100.00 %,42,680,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01134
Spektri,fk01135,,1940 - 1941,1940 - 1941,100.00 %,5,138,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01135
Spes patriae,fk01136,1930 - 1931,,1930 - 1931,100.00 %,13,252,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01136
Spets,1458-6657,1881 - 1889,,1881 - 1889,100.00 %,308,1232,https://digi.kansalliskirjasto.fi/aikakausi/titles/1458-6657
Spinnakern,fk20050914,1896,,1896,100.00 %,1,4,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050914
Spiritisti,fk01138,1909 - 1913,,1909 - 1913,100.00 %,39,1166,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01138
Sport : organ för Idrottsföreningen Kamraterna Sverige och Finland,fk20090660,1898,,1898 - 1921,4.17 %,23,228,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090660
Sport : tidning för skämtsamma idrotter,fk20050915,1885,,1885,100.00 %,1,4,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050915
Sport-liv : tidskrift för sport och idrott inom Åboland : officiellt organ för Åbodistriktet av Sv. F.I,fk01142,1921 - 1922,,1921 - 1922,100.00 %,15,180,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01142
Sporten,fk01141,1881 - 1895,,1881 - 1895,100.00 %,182,1648,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01141
St Michels Annonce-Blad,1458-6665,1861 - 1862,,1861 - 1862,100.00 %,53,106,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-6665
St Michels Veckoblad,1458-6673,1876 - 1877,,1876 - 1877,100.00 %,26,108,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-6673
Stads-missions-bladet,fk01147,1886 - 1897,,1886 - 1897,100.00 %,143,726,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01147
Stadsmissionens söndagshälsning,fk01146,1904 - 1906,,1904 - 1906,100.00 %,78,312,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01146
Staren : ströskrift,fk20090721,1899,,1899,100.00 %,1,24,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090721
Statisticeskij ezegodnik Karelii,fk20100062,1923,,1923 - 1936,7.14 %,1,258,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100062
Statisticeskij obzor ... g,fk20100081,"1924 - 1925, 1927",,1925 - 1927,100.00 %,6,1062,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100081
Stenmans konstrevy,fk01151,1919 - 1921,,1919 - 1921,100.00 %,16,298,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01151
Sträjkbladet,fk20090703,1898,,1898,100.00 %,3,12,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090703
Strömberg : perhelehti,fk03915,,1940 - 1944,1940 - 1971,15.63 %,18,530,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk03915
Ströskrifter,fk20100607,1861 - 1862,,1861 - 1862,100.00 %,2,222,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100607
Studentbladet,0356-7265,"1911 - 1917, 1919 - 1939","1940 - 1941, 1943 - 1944",1911 - 2025,27.83 %,451,7369,https://digi.kansalliskirjasto.fi/aikakausi/titles/0356-7265
Studentkalender,fk20080605,1929,,1929,100.00 %,1,228,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20080605
Studia Fennica : revue de linguistique et d´ethnologie finnoises,0085-6835,"1933, 1936, 1938",1940,1933 - 2025,4.30 %,4,1088,https://digi.kansalliskirjasto.fi/aikakausi/titles/0085-6835
Studiebladet : tidning för Finlands svenska arbetares bildningsarbete,fk01154,1925 - 1929,,1925 - 1929,100.00 %,13,56,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01154
Stump,fk06104,,1966 - 1970,1966 - 1970,100.00 %,55,1442,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk06104
Stuvaren : organ för organiserade stuveriarbetsgivare i Finland,fk01155,1924 - 1925,,1924 - 1925,100.00 %,13,112,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01155
Stylus : Piirustusopettajayhdistyksen julkaisu,0784-803X,"1907 - 1910, 1912 - 1916, 1920, 1922 - 1923, 1925, 1928 - 1934, 1936 - 1939","1940 - 1941, 1943 - 1944",1907 - 1982,36.84 %,28,2360,https://digi.kansalliskirjasto.fi/aikakausi/titles/0784-803X
Stöttruppernas ledarblad,fk01156,,1941,1941,100.00 %,4,32,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01156
Sukututkija,fk01159,1921,,1921,100.00 %,2,83,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01159
Sukututkija : Yleisen sukuseuran jäsenten yhdysside,fk01160,,1944,1944,100.00 %,4,80,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01160
